titulo,descricao,link,data_publicacao,fonte,categoria,n_palavras_titulo,n_palavras_desc,dia_semana,hora,sentimento
Palmeiras mais longe da final da Libertadores,"O Palmeiras, treinado pelo português Abel Ferreira, comprometeu a qualificação para a final da Taça Libertadores, ao perder na quinta-feira em casa da Liga de Quito, por 3-0, em jogo da primeira mão das meias-finais.",https://www.rtp.pt/noticias/futebol-internacional/palmeiras-mais-longe-da-final-da-libertadores_d1693408,2025-10-24 12:27:44+01:00,RTP,desporto,7,35,4,12,0
Números e Curiosidades da jornada 9 da I Liga,"O jogo mais histórico desta jornada é o 15.º confronto, no Minho, entre o Moreirense e o FC Porto.",https://www.rtp.pt/noticias/1a-liga/numeros-e-curiosidades-da-jornada-9-da-i-liga_d1693396,2025-10-24 12:04:00+01:00,RTP,desporto,9,19,4,12,0
Gil Vicente procura igualar Sporting na classificação,"O Gil Vicente pode igualar provisoriamente o Sporting no segundo lugar da I Liga, se vencer esta noite em casa do Alverca, no jogo de abertura da nona jornada da prova, que é liderada pelo FC Porto.",https://www.rtp.pt/noticias/futebol-nacional/gil-vicente-procura-igualar-sporting-na-classificacao_d1693378,2025-10-24 10:40:58+01:00,RTP,desporto,7,37,4,10,0
Seleção portuguesa feminina de futebol vence Estados Unidos pela primeira vez,"A seleção portuguesa feminina de conseguiu na quinta-feira o primeiro triunfo de sempre face aos Estados Unidos, ao 12.º jogo, ao vencer por 2-1 o particular realizado em Chester, na Pensilvânia.",https://www.rtp.pt/noticias/selecao-nacional/selecao-portuguesa-feminina-de-futebol-vence-estados-unidos-pela-primeira-vez_d1693376,2025-10-24 10:34:29+01:00,RTP,desporto,11,31,4,10,0
Sporting SAD recupera créditos de direitos televisivos por quase 69 milhões,"A Sporting SAD recuperou créditos de direitos televisivos por 68,8 milhões de euros, anunciaram na quarta-feira os bicampeões nacionais de futebol, um dia depois de concretizarem uma emissão de 225 ME de obrigações.",https://www.rtp.pt/noticias/sporting/sporting-sad-recupera-creditos-de-direitos-televisivos-por-quase-69-milhoes_d1693374,2025-10-24 10:24:27+01:00,RTP,desporto,11,33,4,10,0
Bronze tardio para Iúri Leitão nos Mundiais de ciclismo de pista,"O português Iúri Leitão conquistou na quinta-feira a medalha de bronze na prova de scratch dos Mundiais de ciclismo de pista, mas que apenas pode pôr ao peito após uma longa espera.",https://www.rtp.pt/noticias/outras-modalidades/bronze-tardio-para-iuri-leitao-nos-mundiais-de-ciclismo-de-pista_d1693370,2025-10-24 10:14:52+01:00,RTP,desporto,11,32,4,10,0
Benfica vence Las Palmas e continua focado na `Champions` feminina de voleibol,"O Benfica bateu hoje por 3-1 o Heidelberg Las Palmas, em jogo da primeira mão da segunda ronda da Liga dos Campeões feminina de voleibol, continuando na luta pelo acesso à fase de grupos.",https://www.rtp.pt/noticias/outras-modalidades/benfica-vence-las-palmas-e-continua-focado-na-champions-feminina-de-voleibol_d1693313,2025-10-23 23:26:07+01:00,RTP,desporto,12,34,3,23,0
Arábia Saudita recebe novo Masters 1.000 de ténis a partir de 2028,"A Arábia Saudita vai organizar um Masters 1.000 de ténis a partir de 2028, anunciou hoje a Associação de Tenistas Profissionais (ATP), expandindo pela primeira vez a série anual de torneios situados abaixo do quarteto de Grand Slams.",https://www.rtp.pt/noticias/outras-modalidades/arabia-saudita-recebe-novo-masters-1000-de-tenis-a-partir-de-2028_d1693307,2025-10-23 22:51:01+01:00,RTP,desporto,12,38,3,22,0
Tomás Melo Gouveia faz história no Lisbon Sports Club e lidera Lisbon Masters,"Tomás Melo Gouveia protagonizou esta quinta-feira um momento histórico no Lisbon Sports Club, em Belas, ao realizar a melhor volta de sempre no campo centenário - 63 pancadas, seis abaixo do Par - e assumir a liderança do Lisbon Masters, quinta etapa do Timestamp Golf Tour.",https://www.rtp.pt/noticias/outras-modalidades/tomas-melo-gouveia-faz-historia-no-lisbon-sports-club-e-lidera-lisbon-masters_d1693284,2025-10-23 21:14:15+01:00,RTP,desporto,13,46,3,21,0
Neemias e Queiroz fora do arranque do apuramento para Mundial2027 de basquetebol,"Neemias Queta, por jogar na Liga norte-americana de basquetebol (NBA), e o ‘capitão’ Miguel Queiroz, devido a lesão, estão fora da pré-convocatória de Portugal para os dois primeiros jogos de qualificação para o Mundial de 2027.",https://www.rtp.pt/noticias/outras-modalidades/neemias-e-queiroz-fora-do-arranque-do-apuramento-para-mundial2027-de-basquetebol_d1693282,2025-10-23 20:59:08+01:00,RTP,desporto,12,36,3,20,0
